record_id,source,stream,pmid,doi,title,year,url,dedup_basis
R0117,previous evidence map,seed_evidence_map,NR,10.1016/j.pain.2004.09.012,"Core outcome measures for chronic pain clinical trials: IMMPACT recommendations / R. H. Dworkin, D. C. Turk, J. T. Farrar [et al.]",,https://pubmed.ncbi.nlm.nih.gov/15621359/,DOI -> PMID -> normalized title
R0118,previous evidence map,seed_evidence_map,41145516,10.1038/s41597-025-05982-x,"CoSpine Open Access Simultaneous Cortico-Spinal fMRI Database of Thermal Pain and Motor Tasks / Z. Wei, X. Lin, L. Zhang [et al.]",,https://doi.org/10.1038/s41597-025-05982-x,DOI -> PMID -> normalized title
R0119,PubMed,scs,37440335,10.1097/ajp.0000000000001146,Cost-utility Analysis of Evoke Closed-loop Spinal Cord Stimulation for Chronic Back and Leg Pain.,2023,https://pubmed.ncbi.nlm.nih.gov/37440335/,DOI -> PMID -> normalized title
R0120,PubMed,pain_ml,31831532,10.1136/bmjopen-2019-030482,Current state of science in machine learning methods for automatic infant pain evaluation using facial expression information: study protocol of a systematic review and meta-analysis.,2019,https://pubmed.ncbi.nlm.nih.gov/31831532/,DOI -> PMID -> normalized title
R0121,PubMed,pain_ml,36995101,10.1227/neu.0000000000002474,Daily Pain Prediction Using Smartphone Speech Recordings of Patients With Spine Disease.,2023,https://pubmed.ncbi.nlm.nih.gov/36995101/,DOI -> PMID -> normalized title
R0122,PubMed,datasets,36561927,10.1016/j.dib.2022.108802,Dataset linking free polyunsaturated fatty acid concentrations in erythrocytes with chronic pain conditions in adults.,2023,https://pubmed.ncbi.nlm.nih.gov/36561927/,DOI -> PMID -> normalized title
R0123,PubMed,pain_ml,39732802,10.1038/s41598-024-82631-0,Decoding of pain during heel lancing in human neonates with EEG signal and machine learning approach.,2024,https://pubmed.ncbi.nlm.nih.gov/39732802/,DOI -> PMID -> normalized title
R0124,PubMed,pain_ml,39941230,10.3390/diagnostics15030300,Decoding Pain: A Comprehensive Review of Computational Intelligence Methods in Electroencephalography-Based Brain-Computer Interfaces.,2025,https://pubmed.ncbi.nlm.nih.gov/39941230/,DOI -> PMID -> normalized title
R0125,PubMed,pain_ml,27148029,10.3389/fncom.2016.00032,Decoding Subjective Intensity of Nociceptive Pain from Pre-stimulus and Post-stimulus Brain Activities.,2016,https://pubmed.ncbi.nlm.nih.gov/27148029/,DOI -> PMID -> normalized title
R0126,PubMed,pain_ml,35743636,10.3390/jpm12060851,Deep Learning-Based Grimace Scoring Is Comparable to Human Scoring in a Mouse Migraine Model.,2022,https://pubmed.ncbi.nlm.nih.gov/35743636/,DOI -> PMID -> normalized title
R0127,PubMed,pain_ml,40355693,10.1007/s10278-025-01534-2,Deep Learning-Based Instance Appraisable Model (EDi Pain) for Pain Estimation via Facial Videos: A Retrospective Analysis and a Prospective Emergency Department Study.,2026,https://pubmed.ncbi.nlm.nih.gov/40355693/,DOI -> PMID -> normalized title
R0128,PubMed,pain_ml,35372435,10.3389/fmed.2022.851690,Deep Learning-Based Pain Classifier Based on the Facial Expression in Critically Ill Patients.,2022,https://pubmed.ncbi.nlm.nih.gov/35372435/,DOI -> PMID -> normalized title
R0129,PubMed,pain_ml,38428929,10.30802/aalas-jaalas-23-000056,Deep Learning for Face Detection and Pain Assessment in Japanese macaques (Macaca fuscata).,2024,https://pubmed.ncbi.nlm.nih.gov/38428929/,DOI -> PMID -> normalized title
R0130,PubMed,pain_ml,37674052,10.1038/s41598-023-41774-2,Deep learning for video-based automated pain recognition in rabbits.,2023,https://pubmed.ncbi.nlm.nih.gov/37674052/,DOI -> PMID -> normalized title
R0131,PubMed,pain_ml,37146182,10.1097/j.pain.0000000000002900,Deep learning-guided postoperative pain assessment in children.,2023,https://pubmed.ncbi.nlm.nih.gov/37146182/,DOI -> PMID -> normalized title
R0132,previous evidence map,seed_evidence_map,NR,10.1109/fg.2018.00044,"Deep Multimodal Pain Recognition: A Database and Comparison of Spatio-Temporal Visual Modalities / M. A. Haque, R. B. Bautista, F. Noroozi [et al.]",,https://doi.org/10.1109/FG.2018.00044,DOI -> PMID -> normalized title
R0133,PubMed,pain_ml,28207407,10.1109/tcyb.2017.2662199,Deep Pain: Exploiting Long Short-Term Memory Networks for Facial Expression Classification.,2022,https://pubmed.ncbi.nlm.nih.gov/28207407/,DOI -> PMID -> normalized title
R0134,PubMed,pain_ml,37399159,10.1109/jbhi.2023.3291955,Design and Evaluation of Deep Learning Models for Continuous Acute Pain Detection Based on Phasic Electrodermal Activity.,2023,https://pubmed.ncbi.nlm.nih.gov/37399159/,DOI -> PMID -> normalized title
R0135,PubMed,pain_ml,40554083,10.1016/j.ridd.2025.105058,Design of a mobile application based on artificial intelligence to identify pain in non-communicating individuals with cerebral palsy.,2025,https://pubmed.ncbi.nlm.nih.gov/40554083/,DOI -> PMID -> normalized title
R0136,PubMed,pain_ml,33127478,10.1016/j.neuroimage.2020.117506,Designing individual-specific and trial-specific models to accurately predict the intensity of nociceptive pain from single-trial fMRI responses.,2021,https://pubmed.ncbi.nlm.nih.gov/33127478/,DOI -> PMID -> normalized title
R0137,PubMed,pain_ml,37333009,10.3389/fneur.2023.1195923,Detection of brain regions responsible for chronic pain in osteoarthritis: an fMRI-based neuroimaging study using deep learning.,2023,https://pubmed.ncbi.nlm.nih.gov/37333009/,DOI -> PMID -> normalized title
R0138,PubMed,pain_ml,32645045,10.1371/journal.pone.0235545,Developing a pain intensity prediction model using facial expression: A feasibility study with electromyography.,2020,https://pubmed.ncbi.nlm.nih.gov/32645045/,DOI -> PMID -> normalized title
R0139,PubMed,pain_ml,39356566,10.1097/anc.0000000000001205,Developing and Validating a Multimodal Dataset for Neonatal Pain Assessment to Improve AI Algorithms With Clinical Data.,2024,https://pubmed.ncbi.nlm.nih.gov/39356566/,DOI -> PMID -> normalized title
R0140,PubMed,scs,40580152,10.1111/papr.70058,Developing the Necessary Information for Sample Size Calculations in Future Spinal Cord Stimulation Clinical Trials.,2025,https://pubmed.ncbi.nlm.nih.gov/40580152/,DOI -> PMID -> normalized title
R0141,PubMed,scs,39833558,10.1007/s10916-025-02148-5,Development and Implementation of Automated Referral Triaging System for Spinal Cord Stimulation Procedure in Pain Medicine.,2025,https://pubmed.ncbi.nlm.nih.gov/39833558/,DOI -> PMID -> normalized title
R0142,PubMed,pain_ml,33266297,10.3390/ani10122258,Development and Validation of an Automated Video Tracking Model for Stabled Horses.,2020,https://pubmed.ncbi.nlm.nih.gov/33266297/,DOI -> PMID -> normalized title
R0143,PubMed,pain_ml,37665749,10.1515/sjpain-2023-0011,Development of a binary classifier model from extended facial codes toward video-based pain recognition in cancer patients.,2023,https://pubmed.ncbi.nlm.nih.gov/37665749/,DOI -> PMID -> normalized title
R0144,PubMed,pain_ml,42365063,10.1038/s41598-026-58562-3,Development of high-precision automated dynamic plantar aesthesiometer (ADPA): a promising tool in pain research.,2026,https://pubmed.ncbi.nlm.nih.gov/42365063/,DOI -> PMID -> normalized title
R0145,PubMed,pain_ml,39371148,10.1101/2024.09.18.24313903,Development of Machine Learning Algorithms Using EEG Data to Detect the Presence of Chronic Pain.,2025,https://pubmed.ncbi.nlm.nih.gov/39371148/,DOI -> PMID -> normalized title
R0146,PubMed; previous evidence map,scs; seed_evidence_map,35179133,10.1227/neu.0000000000001855,Development of Machine Learning-Based Models to Predict Treatment Response to Spinal Cord Stimulation.,2022,https://pubmed.ncbi.nlm.nih.gov/35179133/,DOI -> PMID -> normalized title
R0147,PubMed,scs,37691581,10.1080/17434440.2023.2255520,Device profile of the Evoke physiologic closed-loop spinal cord stimulation system for the treatment of chronic intractable pain: overview of its safety and efficacy.,2023,https://pubmed.ncbi.nlm.nih.gov/37691581/,DOI -> PMID -> normalized title
R0148,PubMed,scs,41336249,10.1109/embc58623.2025.11253317,DGPC-Net: Dual Branch Gaussian Process Constrained Network for Spinal Cord Stimulation Effect Prediction.,2025,https://pubmed.ncbi.nlm.nih.gov/41336249/,DOI -> PMID -> normalized title
R0149,PubMed,pain_ml,41595284,10.3390/healthcare14020149,Digital Approaches to Pain Assessment Across Older Adults: A Scoping Review.,2026,https://pubmed.ncbi.nlm.nih.gov/41595284/,DOI -> PMID -> normalized title
R0150,PubMed,scs,41926484,10.1371/journal.pone.0345287,Directional leads applied to spinal cord stimulation: A computational modelling study.,2026,https://pubmed.ncbi.nlm.nih.gov/41926484/,DOI -> PMID -> normalized title
R0151,PubMed,pain_ml,40024188,10.1016/j.compbiomed.2025.109908,Disclosing neonatal pain in real-time: AI-derived pain sign from continuous assessment of facial expressions.,2025,https://pubmed.ncbi.nlm.nih.gov/40024188/,DOI -> PMID -> normalized title
R0152,PubMed,scs,39557021,10.1159/000541986,Dorsal Column Spinal Cord Stimulation Attenuates Brain-Spine Connectivity through Locomotion- and Visuospatial-Specific Area Activation in Progressive Freezing of Gait.,2025,https://pubmed.ncbi.nlm.nih.gov/39557021/,DOI -> PMID -> normalized title
R0153,PubMed,pain_ml,40989383,10.7717/peerj-cs.3158,Dual-stream transformer approach for pain assessment using visual-physiological data modeling.,2025,https://pubmed.ncbi.nlm.nih.gov/40989383/,DOI -> PMID -> normalized title
R0154,PubMed,scs,34998276,10.1001/jamaneurol.2021.4998,Durability of Clinical and Quality-of-Life Outcomes of Closed-Loop Spinal Cord Stimulation for Chronic Back and Leg Pain: A Secondary Analysis of the Evoke Randomized Clinical Trial.,2022,https://pubmed.ncbi.nlm.nih.gov/34998276/,DOI -> PMID -> normalized title
R0155,PubMed,scs,37491149,10.1136/rapm-2023-104639,Durable multimodal and holistic response for physiologic closed-loop spinal cord stimulation supported by objective evidence from the EVOKE double-blind randomized controlled trial.,2024,https://pubmed.ncbi.nlm.nih.gov/37491149/,DOI -> PMID -> normalized title
R0156,PubMed,scs,26095007,10.1111/ner.12319,Dynamic Detection of Spinal Cord Position During Postural Changes Using Near-Infrared Reflectometry.,2015,https://pubmed.ncbi.nlm.nih.gov/26095007/,DOI -> PMID -> normalized title
R0157,PubMed,scs,36608962,10.1016/j.neurom.2022.11.002,Early Experience With a Novel Miniaturized Spinal Cord Stimulation System for the Management of Chronic Intractable Pain of the Back and Legs.,2023,https://pubmed.ncbi.nlm.nih.gov/36608962/,DOI -> PMID -> normalized title
R0158,PubMed,scs,40378232,10.1093/pm/pnaf058,Early outcomes with a flexible ECAP based closed loop using multiplexed spinal cord stimulation waveforms-single-arm study with in-clinic randomized crossover testing.,2025,https://pubmed.ncbi.nlm.nih.gov/40378232/,DOI -> PMID -> normalized title
R0159,PubMed,scs,33768664,10.1111/papr.13008,"ECAP-Controlled Closed-Loop Spinal Cord Stimulation Efficacy and Opioid Reduction Over 24-Months: Final Results of the Prospective, Multicenter, Open-Label Avalon Study.",2021,https://pubmed.ncbi.nlm.nih.gov/33768664/,DOI -> PMID -> normalized title
R0160,PubMed,scs,40590186,10.1097/brs.0000000000005445,ECAP-Controlled Closed-Loop Spinal Cord Stimulation for Chronic Nonsurgical Refractory Back Pain: Subgroup Analysis From Two Prospective Multicenter Clinical Trials.,2025,https://pubmed.ncbi.nlm.nih.gov/40590186/,DOI -> PMID -> normalized title
R0161,PubMed,scs,37640452,10.1136/rapm-2023-104751,ECAP-controlled closed-loop versus open-loop SCS for the treatment of chronic pain: 36-month results of the EVOKE blinded randomized clinical trial.,2024,https://pubmed.ncbi.nlm.nih.gov/37640452/,DOI -> PMID -> normalized title
R0162,PubMed,scs,42134463,10.1016/j.neuroimage.2026.122002,EEG-based clustering shows distinct separation of chronic pain patients before spinal cord stimulation surgery.,2026,https://pubmed.ncbi.nlm.nih.gov/42134463/,DOI -> PMID -> normalized title
R0163,PubMed,pain_ml,34086704,10.1371/journal.pone.0241532,Effect of transportation and social isolation on facial expressions of healthy horses.,2021,https://pubmed.ncbi.nlm.nih.gov/34086704/,DOI -> PMID -> normalized title
R0164,PubMed,scs,28922517,10.1111/ner.12684,Effective Relief of Pain and Associated Symptoms With Closed-Loop Spinal Cord Stimulation System: Preliminary Results of the Avalon Study.,2018,https://pubmed.ncbi.nlm.nih.gov/28922517/,DOI -> PMID -> normalized title
R0165,PubMed,pain_ml,39610577,10.7759/cureus.72562,Effectiveness of Digital Health Interventions (DHI) in Chronic Pain Management: A Scoping Review of Current Evidence and Emerging Trends.,2024,https://pubmed.ncbi.nlm.nih.gov/39610577/,DOI -> PMID -> normalized title
R0166,PubMed,scs,41866084,10.1016/j.toxicon.2026.109073,"Effects of apomorphine, spinal rTMS, and BoNT on camptocormia: an exploratory wearable sensor-based analysis in a patient with MSA.",2026,https://pubmed.ncbi.nlm.nih.gov/41866084/,DOI -> PMID -> normalized title
R0167,PubMed,scs,31876094,10.1111/ner.13091,Effects of Spinal Cord Stimulation on Heart Rate Variability in Patients With Failed Back Surgery Syndrome: Comparison Between a 2-lead ECG and a Wearable Device.,2021,https://pubmed.ncbi.nlm.nih.gov/31876094/,DOI -> PMID -> normalized title
R0168,PubMed,scs,42149411,10.1111/papr.70166,Efficacy of Closed Loop Spinal Cord Stimulation for Chronic Back and Leg Pain: A Systematic Review.,2026,https://pubmed.ncbi.nlm.nih.gov/42149411/,DOI -> PMID -> normalized title
R0169,PubMed,datasets,23707278,10.1016/j.pain.2013.04.044,Efficacy of Qutenza® (capsaicin) 8% patch for neuropathic pain: a meta-analysis of the Qutenza Clinical Trials Database.,2013,https://pubmed.ncbi.nlm.nih.gov/23707278/,DOI -> PMID -> normalized title
R0170,PubMed,scs,41069191,10.1097/wco.0000000000001431,Electrical and optogenetic spinal cord stimulation for movement recovery after spinal cord injury.,2025,https://pubmed.ncbi.nlm.nih.gov/41069191/,DOI -> PMID -> normalized title
R0171,PubMed,pain_ml,41793211,10.1111/psyp.70276,Electrodermal Activity: The Potential of Psychophysiology in Pain Assessment.,2026,https://pubmed.ncbi.nlm.nih.gov/41793211/,DOI -> PMID -> normalized title
R0172,PubMed,scs,32434351,10.21037/apm-20-642,Emerging concepts in the closed-loop spinal cord stimulation system: preliminary results of the Avalon study.,2020,https://pubmed.ncbi.nlm.nih.gov/32434351/,DOI -> PMID -> normalized title
R0173,PubMed,pain_ml,39540033,10.2147/jpr.s491574,Employing the Artificial Intelligence Object Detection Tool YOLOv8 for Real-Time Pain Detection: A Feasibility Study.,2024,https://pubmed.ncbi.nlm.nih.gov/39540033/,DOI -> PMID -> normalized title
R0174,PubMed,pain_ml,40461564,10.1038/s41598-025-04552-w,Enhanced residual attention-based subject-specific network (ErAS-Net): facial expression-based pain classification with multiple attention mechanisms.,2025,https://pubmed.ncbi.nlm.nih.gov/40461564/,DOI -> PMID -> normalized title
R0175,previous evidence map,seed_evidence_map,NR,10.1088/1741-2552/ad7f8b,"Epidural spinal cord recordings (ESRs): sources of neural-appearing artifact in stimulation evoked compound action potentials / A. Deshmukh, M. Settell, K. Cheng [et al.]",,https://doi.org/10.1088/1741-2552/ad7f8b,DOI -> PMID -> normalized title
R0176,PubMed,pain_ml,41248315,10.2196/77345,Evaluating the Accuracy of the Frysian Questionnaire for Differentiation of Musculoskeletal Complaints for Triage of Musculoskeletal Diseases: Algorithm Development and Validation Study.,2025,https://pubmed.ncbi.nlm.nih.gov/41248315/,DOI -> PMID -> normalized title
R0177,PubMed,pain_ml,39967417,10.1093/ageing/afaf027,Evaluation of the psychometric properties of PainChek in older general hospital patients with dementia.,2025,https://pubmed.ncbi.nlm.nih.gov/39967417/,DOI -> PMID -> normalized title
R0178,PubMed; previous evidence map,scs; seed_evidence_map,37531954,10.1088/1741-2552/aceca4,Evoked compound action potentials during spinal cord stimulation: effects of posture and pulse width on signal features and neural activation within the spinal cord.,2023,https://pubmed.ncbi.nlm.nih.gov/37531954/,DOI -> PMID -> normalized title
R0179,previous evidence map,seed_evidence_map,NR,10.1111/ner.12968,"Evoked Compound Action Potentials Reveal Spinal Cord Dorsal Column Neuroanatomy / J. L. Parker, M. Obradovic, N. Hesam Shariati [et al.]",,https://doi.org/10.1111/ner.12968,DOI -> PMID -> normalized title
R0180,PubMed,scs,31215720,10.1111/ner.12965,Evoked Potentials Recorded From the Spinal Cord During Neurostimulation for Pain: A Computational Modeling Study.,2020,https://pubmed.ncbi.nlm.nih.gov/31215720/,DOI -> PMID -> normalized title
R0181,PubMed,pain_ml,37112321,10.3390/s23083980,Experimental Exploration of Multilevel Human Pain Assessment Using Blood Volume Pulse (BVP) Signals.,2023,https://pubmed.ncbi.nlm.nih.gov/37112321/,DOI -> PMID -> normalized title
R0182,PubMed,pain_ml,35221908,10.3389/fnins.2022.831627,Experimental Exploration of Objective Human Pain Assessment Using Multimodal Sensing Signals.,2022,https://pubmed.ncbi.nlm.nih.gov/35221908/,DOI -> PMID -> normalized title
R0183,PubMed,pain_ml,40457422,10.1186/s44158-025-00249-8,Expert consensus on feasibility and application of automatic pain assessment in routine clinical use.,2025,https://pubmed.ncbi.nlm.nih.gov/40457422/,DOI -> PMID -> normalized title
R0184,2026 evidence-map update,2026_update,41499809,10.1088/2057-1976/ae34b4,Explainable AI for Pain Perception: Subject-Independent EEG Decoding,2026,https://pubmed.ncbi.nlm.nih.gov/41499809/,DOI -> PMID -> normalized title
R0185,PubMed,pain_ml,36850556,10.3390/s23041959,Explainable Artificial Intelligence (XAI) in Pain Research: Understanding the Role of Electrodermal Activity for Automated Pain Recognition.,2023,https://pubmed.ncbi.nlm.nih.gov/36850556/,DOI -> PMID -> normalized title
R0186,PubMed,pain_ml,37268666,10.1038/s41598-023-35846-6,Explainable automated pain recognition in cats.,2023,https://pubmed.ncbi.nlm.nih.gov/37268666/,DOI -> PMID -> normalized title
R0187,PubMed; previous evidence map,pain_ml; seed_evidence_map,34242325,10.1371/journal.pone.0254108,"Exploration of physiological sensors, features, and machine learning models for pain intensity estimation.",2021,https://pubmed.ncbi.nlm.nih.gov/34242325/,DOI -> PMID -> normalized title
R0188,PubMed,pain_ml,31627305,10.3390/s19204503,Exploring Deep Physiological Models for Nociceptive Pain Recognition.,2019,https://pubmed.ncbi.nlm.nih.gov/31627305/,DOI -> PMID -> normalized title
R0189,PubMed; 2026 evidence-map update,2026_update; pain_ml,42600964,10.1016/j.jpain.2026.106416,External Validation of EEG-Based Machine Learning Models for Continuous Pain Prediction.,2026,https://pubmed.ncbi.nlm.nih.gov/42600964/,DOI -> PMID -> normalized title
R0190,PubMed,pain_ml,37331703,10.1016/j.jped.2023.05.005,Face-based automatic pain assessment: challenges and perspectives in neonatal intensive care units.,2023,https://pubmed.ncbi.nlm.nih.gov/37331703/,DOI -> PMID -> normalized title
R0191,PubMed,pain_ml,35295796,10.3389/fpain.2022.827551,Faces of Pain in Dementia: Learnings From a Real-World Study Using a Technology-Enabled Pain Assessment Tool.,2022,https://pubmed.ncbi.nlm.nih.gov/35295796/,DOI -> PMID -> normalized title
R0192,PubMed,pain_ml,42023252,10.1002/ibra.70010,Facial expression recognition for emotion perception: A comprehensive science mapping.,2026,https://pubmed.ncbi.nlm.nih.gov/42023252/,DOI -> PMID -> normalized title
R0193,PubMed,scs,31626215,10.17116/jnevro201911909123,[Factors of adverse prediction of application of spinal cord stimulation with chronic pain syndrome in patients with critical lower limb ischemia].,2019,https://pubmed.ncbi.nlm.nih.gov/31626215/,DOI -> PMID -> normalized title
R0194,previous evidence map,seed_evidence_map,NR,10.1016/j.neurom.2023.10.188,"Factors Predicting Clinically Relevant Pain Relief After Spinal Cord Stimulation for Patients With Chronic Low Back and/or Leg Pain: A Systematic Review With Meta-Analysis and Meta-Regression / F. Bastiaens, I. H. van de Wijgert, E. M. Bronkhorst [et al.]",,https://pubmed.ncbi.nlm.nih.gov/38184342/,DOI -> PMID -> normalized title
R0195,PubMed,pain_ml,40970148,10.2147/jmdh.s531709,Feasibility and Effectiveness of a Low-Code AI Platform for Developing a Neonatal Multimodal Pain Classification Model.,2025,https://pubmed.ncbi.nlm.nih.gov/40970148/,DOI -> PMID -> normalized title
R0196,PubMed,pain_ml,37993169,10.1136/bmjopen-2023-073534,Feasibility interventional study investigating PAIN in neurorehabilitation through wearabLE SensorS (PAINLESS): a study protocol.,2023,https://pubmed.ncbi.nlm.nih.gov/37993169/,DOI -> PMID -> normalized title
R0197,PubMed,scs,40073452,10.1088/1741-2552/adbfbe,Feature extraction and prediction of spinal cord stimulation evoked compound action potentials in humans.,2025,https://pubmed.ncbi.nlm.nih.gov/40073452/,DOI -> PMID -> normalized title
R0198,PubMed,pain_ml,31133782,10.3389/fnins.2019.00437,Feature Extraction and Selection for Pain Recognition Using Peripheral Physiological Signals.,2019,https://pubmed.ncbi.nlm.nih.gov/31133782/,DOI -> PMID -> normalized title
R0199,PubMed,scs,33318354,10.4103/0028-3886.302465,"Finding Optimal Neuromodulation for Chronic Pain: Waves, Bursts, and Beyond.",2020,https://pubmed.ncbi.nlm.nih.gov/33318354/,DOI -> PMID -> normalized title
R0200,PubMed; previous evidence map,scs; seed_evidence_map,38508591,10.1136/rapm-2024-105346,First evidence of a biomarker-based dose-response relationship in chronic pain using physiological closed-loop spinal cord stimulation.,2025,https://pubmed.ncbi.nlm.nih.gov/38508591/,DOI -> PMID -> normalized title
R0201,previous evidence map,seed_evidence_map,37217725,10.1038/s41593-023-01338-z,"First-in-human prediction of chronic pain state using intracranial neural biomarkers / P. Shirvalkar, J. Prosky, G. Chin [et al.]",,https://pubmed.ncbi.nlm.nih.gov/37217725/,DOI -> PMID -> normalized title
R0202,PubMed,scs,32322387,10.1186/s40035-020-00191-5,"Freezing of gait in Parkinson's disease: pathophysiology, risk factors and treatments.",2020,https://pubmed.ncbi.nlm.nih.gov/32322387/,DOI -> PMID -> normalized title
R0203,PubMed,pain_ml,32382799,10.1007/s00482-020-00473-x,[From external assessment of pain to automated multimodal measurement of pain intensity : Narrative review of state of research and clinical perspectives].,2020,https://pubmed.ncbi.nlm.nih.gov/32382799/,DOI -> PMID -> normalized title
R0204,PubMed,pain_ml,39086767,10.3389/fvets.2024.1436795,From facial expressions to algorithms: a narrative review of animal pain recognition technologies.,2024,https://pubmed.ncbi.nlm.nih.gov/39086767/,DOI -> PMID -> normalized title
R0205,PubMed,pain_ml,35382385,10.1007/s11227-022-04439-x,Full-convolution Siamese network algorithm under deep learning used in tracking of facial video image in newborns.,2022,https://pubmed.ncbi.nlm.nih.gov/35382385/,DOI -> PMID -> normalized title
R0206,PubMed,pain_ml,38062194,10.1038/s41598-023-49031-2,Fully automated deep learning models with smartphone applicability for prediction of pain using the Feline Grimace Scale.,2023,https://pubmed.ncbi.nlm.nih.gov/38062194/,DOI -> PMID -> normalized title
R0207,PubMed,scs,38458198,10.1016/j.neuron.2024.02.012,Functional ultrasound imaging of the human spinal cord.,2024,https://pubmed.ncbi.nlm.nih.gov/38458198/,DOI -> PMID -> normalized title
R0208,PubMed,pain_ml,35547946,10.1002/pne2.12060,Future roles of artificial intelligence in early pain management of newborns.,2021,https://pubmed.ncbi.nlm.nih.gov/35547946/,DOI -> PMID -> normalized title
R0209,PubMed,pain_ml,39146173,10.1109/jbhi.2024.3443651,GMAEEG: A Self-Supervised Graph Masked Autoencoder for EEG Representation Learning.,2024,https://pubmed.ncbi.nlm.nih.gov/39146173/,DOI -> PMID -> normalized title
R0210,PubMed,pain_ml,39490365,10.1016/j.tvir.2024.100990,"Health inequities, bias, and artificial intelligence.",2024,https://pubmed.ncbi.nlm.nih.gov/39490365/,DOI -> PMID -> normalized title
R0211,PubMed,scs,32940398,10.1111/ner.13267,Health-Related Quality of Life Associated With Pain Health States in Spinal Cord Stimulation for Chronic Neuropathic Pain.,2021,https://pubmed.ncbi.nlm.nih.gov/32940398/,DOI -> PMID -> normalized title
R0212,PubMed,scs,32910099,10.1097/j.pain.0000000000002035,High-dose spinal cord stimulation for patients with failed back surgery syndrome: a multicenter effectiveness and prediction study.,2021,https://pubmed.ncbi.nlm.nih.gov/32910099/,DOI -> PMID -> normalized title
R0213,PubMed,scs,42268377,10.1093/pm/pnag040,History of SCS and patient-focused innovations: a manufacturer's perspective on the role of technology.,2026,https://pubmed.ncbi.nlm.nih.gov/42268377/,DOI -> PMID -> normalized title
R0214,PubMed,datasets,29300278,10.1097/j.pain.0000000000001135,Human pain genetics database: a resource dedicated to human pain genetics research.,2018,https://pubmed.ncbi.nlm.nih.gov/29300278/,DOI -> PMID -> normalized title
R0215,PubMed,pain_ml,38184347,10.1016/j.artmed.2023.102724,"Human vs machine towards neonatal pain assessment: A comprehensive analysis of the facial features extracted by health professionals, parents, and convolutional neural networks.",2024,https://pubmed.ncbi.nlm.nih.gov/38184347/,DOI -> PMID -> normalized title
R0216,PubMed,pain_ml,33019243,10.1109/embc44109.2020.9175247,Hybrid RNN-ANN Based Deep Physiological Network for Pain Recognition.,2020,https://pubmed.ncbi.nlm.nih.gov/33019243/,DOI -> PMID -> normalized title
R0217,PubMed,pain_ml,36551010,10.3390/bioengineering9120804,Image-Based Pain Intensity Estimation Using Parallel CNNs with Regional Attention.,2022,https://pubmed.ncbi.nlm.nih.gov/36551010/,DOI -> PMID -> normalized title
R0218,PubMed,scs,36437161,10.1016/j.neurom.2022.10.050,Impact of Long-Term Evoked Compound Action Potential Controlled Closed-Loop Spinal Cord Stimulation on Sleep Quality in Patients With Chronic Pain: An EVOKE Randomized Controlled Trial Study Subanalysis.,2023,https://pubmed.ncbi.nlm.nih.gov/36437161/,DOI -> PMID -> normalized title
R0219,PubMed,scs,39094810,10.1016/j.jpain.2024.104646,"Improvements in Therapy Experience With Evoked Compound Action Potential Controlled, Closed-Loop Spinal Cord Stimulation-Primary Outcome of the ECHO-MAC Randomized Clinical Trial.",2024,https://pubmed.ncbi.nlm.nih.gov/39094810/,DOI -> PMID -> normalized title
R0220,PubMed,pain_ml,35737453,10.2196/36998,Improving Pain Assessment Using Vital Signs and Pain Medication for Patients With Sickle Cell Disease: Retrospective Study.,2022,https://pubmed.ncbi.nlm.nih.gov/35737453/,DOI -> PMID -> normalized title
R0221,PubMed,pain_ml,30906841,10.1016/j.smhl.2018.01.002,Improving Pain Management in Patients with Sickle Cell Disease from Physiological Measures Using Machine Learning Techniques.,2018,https://pubmed.ncbi.nlm.nih.gov/30906841/,DOI -> PMID -> normalized title
R0222,PubMed,scs,35603938,10.1227/neu.0000000000002047,In Reply: Development of Machine Learning-Based Models to Predict Treatment Response to Spinal Cord Stimulation.,2022,https://pubmed.ncbi.nlm.nih.gov/35603938/,DOI -> PMID -> normalized title
R0223,PubMed,pain_ml,38430433,10.1007/s40122-024-00584-8,"Incorporation of ""Artificial Intelligence"" for Objective Pain Assessment: A Comprehensive Review.",2024,https://pubmed.ncbi.nlm.nih.gov/38430433/,DOI -> PMID -> normalized title
R0224,PubMed,datasets,42662082,10.1016/j.dib.2026.113141,Integrated quantitative sensory testing and psychological phenotyping dataset for capsaicin-induced neuropathic pain susceptibility.,2026,https://pubmed.ncbi.nlm.nih.gov/42662082/,DOI -> PMID -> normalized title
R0225,PubMed,pain_ml,41843272,10.1007/s13246-026-01720-8,Intelligent system for infants' pain detection: pain intensity estimation using deep learning approach.,2026,https://pubmed.ncbi.nlm.nih.gov/41843272/,DOI -> PMID -> normalized title
R0226,PubMed,scs,29105225,10.1111/ner.12719,Is the Self-Reporting of Failed Back Surgery Syndrome Patients Treated With Spinal Cord Stimulation in Line With Objective Measurements?,2018,https://pubmed.ncbi.nlm.nih.gov/29105225/,DOI -> PMID -> normalized title
R0227,PubMed,pain_ml,41381876,10.1038/s41390-025-04669-8,Is this neonate feeling pain? Leveraging clinical knowledge towards high-precision Large Language Model-based neonatal pain assessment.,2026,https://pubmed.ncbi.nlm.nih.gov/41381876/,DOI -> PMID -> normalized title
