record_id,study_id,model_id,ref_no,article_ref_no,doi,pmid,year,synthesis_role,population,pain_type,n_unique_subjects,n_sessions,n_windows,target_name,target_source,target_timing,modality,sensor,sampling_rate,missingness,preprocessing,segmentation,features,architecture,fusion,split_unit,outer_validation,inner_tuning,external_validation,person_level_validation,clinical_sample,metrics,confidence_intervals,calibration,uncertainty,subgroup_analysis,confounders,data_access,code_access,funding,conflicts,evidence_basis,evidence_url,reviewer_notes
R0159,S-10.1111/papr.13008,M093-01,NR,NR,10.1111/papr.13008,33768664,2021,scs_technical_control,SCS chronic pain,SCS chronic pain,NR,NR,NR,ECAP/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,ECAP,ECAP,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8359972/,Single-pass extraction; author verification required
R0160,S-10.1097/brs.0000000000005445,M094-01,NR,NR,10.1097/brs.0000000000005445,40590186,2025,scs_technical_control,SCS chronic pain,SCS chronic pain,68,NR,NR,ECAP/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,ECAP; movement/IMU,ECAP; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,reported,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12594148/,Single-pass extraction; author verification required
R0161,S-10.1136/rapm-2023-104751,M095-01,NR,NR,10.1136/rapm-2023-104751,37640452,2024,scs_technical_control,SCS chronic pain,SCS chronic pain,NR,NR,NR,ECAP/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,ECAP; movement/IMU,ECAP; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,accuracy,reported,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11103285/,Single-pass extraction; author verification required
R0162,S-10.1016/j.neuroimage.2026.122002,M096-01,NR,NR,10.1016/j.neuroimage.2026.122002,42134463,2026,scs_prediction_or_longitudinal,SCS chronic pain,SCS chronic pain,16,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,EEG,EEG,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13276974/,Single-pass extraction; author verification required
R0173,S-10.2147/jpr.s491574,M097-01,NR,NR,10.2147/jpr.s491574,39540033,2024,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,reported or annotated pain intensity,NR,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,NR,NA unimodal or NR,independent cohort or cross-dataset evaluation,independent cohort or cross-dataset evaluation,NR,yes,yes,yes,F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11559421/,Single-pass extraction; author verification required
R0174,S-10.1038/s41598-025-04552-w,M098-01,NR,NR,10.1038/s41598-025-04552-w,40461564,2025,diagnostic_or_prognostic_model,human population NR,human population NR,NR,NR,NR,reported or annotated pain intensity,NR,concurrent or study-defined; exact timing NR,face/video; movement/IMU,face/video; movement/IMU,NR,NR,NR,NR,NR,deep neural network,multimodal,external cohort/dataset,external cohort/dataset,NR,yes,yes,no,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12134349/,Single-pass extraction; author verification required
R0177,S-10.1093/ageing/afaf027,M099-01,NR,NR,10.1093/ageing/afaf027,39967417,2025,descriptive_validation,clinical dementia,clinical dementia,NR,NR,NR,pain-related state,observer or clinical scale,concurrent or study-defined; exact timing NR,face/video; movement/IMU,face/video; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,NR,reported,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11836425/,Single-pass extraction; author verification required
R0178,S-10.1088/1741-2552/aceca4,M048-01,48,40,10.1088/1741-2552/aceca4,37531954,2023,scs_technical_control,SCS chronic pain,SCS chronic pain,56,NR,NR,ECAP features/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,"ECAP, posture","ECAP, posture",NR,NR,NR,NR,NR,NR,NA unimodal or NR,patient library,patient library,NR,no,NR,yes,NR,NR,NA,NA,NR,Posture and pulse width alter ECAP,closed,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1088/1741-2552/aceca4,Posture and pulse width alter ECAP
R0181,S-10.3390/s23083980,M100-01,NR,NR,10.3390/s23083980,37112321,2023,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory,PPG/BVP/cardiorespiratory,NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,LOSO/LOPO,LOSO/LOPO,NR,no,yes,no,accuracy; sensitivity; specificity,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10143826/,Single-pass extraction; author verification required
R0182,S-10.3389/fnins.2022.831627,M101-01,NR,NR,10.3389/fnins.2022.831627,35221908,2022,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; EMG; EEG; face/video; movement/IMU,PPG/BVP/cardiorespiratory; EMG; EEG; face/video; movement/IMU,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8874020/,Single-pass extraction; author verification required
R0184,S-10.1088/2057-1976/ae34b4,M060-01,60,50,10.1088/2057-1976/ae34b4,41499809,2026,stimulus_recognition,acute healthy,acute healthy,50,NR,NR,low/high stimulus pain,reported in PubMed abstract/full text,concurrent or study-defined; exact timing NR,EEG,EEG,NR,NR,NR,NR,NR,NR,NA unimodal or NR,LOSO,LOSO,NR,no,yes,no,NR,NR,no,no,NR,Subject-independent but single dataset,article,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1088/2057-1976/ae34b4,Explainable AI for Pain Perception: Subject-Independent EEG Decoding. Subject-independent but single dataset
R0185,S-10.3390/s23041959,M102-01,NR,NR,10.3390/s23041959,36850556,2023,diagnostic_or_prognostic_model,human population NR,human population NR,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,EDA/SP,EDA/SP,NR,NR,NR,NR,NR,random forest; deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,no,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9960387/,Single-pass extraction; author verification required
R0187,S-10.1371/journal.pone.0254108,M027-01,27,27,10.1371/journal.pone.0254108,34242325,2021,diagnostic_or_prognostic_model,acute healthy,acute healthy,85,NR,NR,pain intensity,participant self-report,concurrent or study-defined; exact timing NR,physiological signals,physiological signals,NR,NR,NR,NR,NR,gradient boosting; deep neural network,NA unimodal or NR,LOPO,LOPO,NR,no,yes,no,MAE; RMSE,NR,NR,no,NR,Normalization of held-out subject may be transductive,features open,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC8270203/,Normalization of held-out subject may be transductive
R0188,S-10.3390/s19204503,M103-01,NR,NR,10.3390/s19204503,31627305,2019,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,NR,concurrent or study-defined; exact timing NR,EDA/SP,EDA/SP,NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,LOSO/LOPO,LOSO/LOPO,NR,no,yes,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6833075/,Single-pass extraction; author verification required
R0189,S-10.1016/j.jpain.2026.106416,M054-01,54,44,10.1016/j.jpain.2026.106416,42600964,2026,diagnostic_or_prognostic_model,external validation,external validation,40,NR,NR,continuous pain,reported in PubMed abstract/full text,concurrent or study-defined; exact timing NR,EEG,EEG,NR,NR,NR,NR,NR,RNN/LSTM; random forest,NA unimodal or NR,external,external,NR,yes,yes,no,accuracy; MAE,NR,NR,NR,NR,Recent external-validation study,NR,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1016/j.jpain.2026.106416,External Validation of EEG-Based Machine Learning Models for Continuous Pain Prediction. Recent external-validation study
R0191,S-10.3389/fpain.2022.827551,M104-01,NR,NR,10.3389/fpain.2022.827551,35295796,2022,descriptive_validation,clinical dementia,clinical dementia,3144,NR,NR,observed pain behavior,observer or clinical scale,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8915628/,Single-pass extraction; author verification required
R0195,S-10.2147/jmdh.s531709,M105-01,NR,NR,10.2147/jmdh.s531709,40970148,2025,diagnostic_or_prognostic_model,clinical neonatal/infant,clinical neonatal/infant,NR,NR,NR,pain-related state,observer or clinical scale,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,NR,NA unimodal or NR,external cohort/dataset,external cohort/dataset,NR,yes,yes,yes,accuracy; AUC; F1,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12442815/,Single-pass extraction; author verification required
R0198,S-10.3389/fnins.2019.00437,M106-01,NR,NR,10.3389/fnins.2019.00437,31133782,2019,diagnostic_or_prognostic_model,human population NR,human population NR,85,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,ECG; EMG; movement/IMU,ECG; EMG; movement/IMU,NR,NR,NR,NR,NR,deep neural network,multimodal,NR,NR,NR,NR,NR,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6513974/,Single-pass extraction; author verification required
R0200,S-10.1136/rapm-2024-105346,M051-01,51,41,10.1136/rapm-2024-105346,38508591,2025,scs_technical_control,SCS chronic pain,SCS chronic pain,>600,NR,NR,pain reduction association,NR,concurrent or study-defined; exact timing NR,ECAP-derived dose + PROM,ECAP-derived dose + PROM,NR,NR,NR,NR,NR,NR,NA unimodal or NR,pooled observational,pooled observational,NR,no,NR,yes,accuracy,NR,no,no,NR,Association does not prove pain sensing,closed,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC12015077/,Association does not prove pain sensing
R0201,S-10.1038/s41593-023-01338-z,M031-01,31,34,10.1038/s41593-023-01338-z,37217725,2023,diagnostic_or_prognostic_model,chronic pain,chronic pain,4,NR,NR,within-person pain state,NR,concurrent or study-defined; exact timing NR,intracranial LFP,intracranial LFP,NR,NR,NR,NR,NR,NR,NA unimodal or NR,within-person temporal,within-person temporal,NR,no,NR,no,NR,NR,NR,NR,NR,First-in-human; no population-level generalization,controlled access,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC10330878/,First-in-human; no population-level generalization
R0217,S-10.3390/bioengineering9120804,M107-01,NR,NR,10.3390/bioengineering9120804,36551010,2022,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,reported or annotated pain intensity,NR,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,no,accuracy; RMSE; correlation,NR,NR,NR,NR,NR,open or publicly downloadable,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9774603/,Single-pass extraction; author verification required
R0220,S-10.2196/36998,M108-01,NR,NR,10.2196/36998,35737453,2022,diagnostic_or_prognostic_model,clinical human,clinical human,496,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory,PPG/BVP/cardiorespiratory,NR,NR,NR,NR,NR,random forest,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9264122/,Single-pass extraction; author verification required
R0221,S-10.1016/j.smhl.2018.01.002,M148-01,NR,NR,10.1016/j.smhl.2018.01.002,30906841,2018,diagnostic_or_prognostic_model,clinical human,clinical human,40,NR,NR,pain-related state,participant self-report,concurrent or study-defined; exact timing NR,NR,NR,NR,NR,NR,NR,NR,logistic regression,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6428053/,Single-pass extraction; author verification required
R0224,S-10.1016/j.dib.2026.113141,M109-01,NR,NR,10.1016/j.dib.2026.113141,42662082,2026,dataset_descriptor,clinical chronic pain,clinical chronic pain,110,NR,NR,pain-related state,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,NR,NR,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,sensitivity,NR,NR,NR,reported,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13519607/,Single-pass extraction; author verification required
R0228,S-10.3390/s21123956,M028-01,28,28,10.3390/s21123956,34201268,2021,diagnostic_or_prognostic_model,acute healthy,acute healthy,NR,NR,NR,high-level acute pain,NR,concurrent or study-defined; exact timing NR,wrist EDA,wrist EDA,NR,NR,NR,NR,NR,NR,NA unimodal or NR,subject-level NR,subject-level NR,NR,no,yes,no,NR,NR,no,no,NR,Wearable laboratory study; arousal is nonspecific,NR,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC8227650/,Wearable laboratory study; arousal is nonspecific
R0230,S-10.1016/s1474-4422(19)30414-4,M033-01,33,36,10.1016/s1474-4422(19)30414-4,31870766,2020,scs_technical_control,SCS chronic back/leg pain,SCS chronic back/leg pain,134,NR,NR,responder outcome,participant self-report,concurrent or study-defined; exact timing NR,ECAP-controlled SCS + PROM,ECAP-controlled SCS + PROM,NR,NR,NR,NR,NR,NR,NA unimodal or NR,randomized trial,randomized trial,NR,no,NR,yes,NR,reported,NA,NA,NR,EVOKE; industry funded,controlled,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1016/s1474-4422(19)30414-4,EVOKE; industry funded
R0231,S-10.1109/embc.2018.8513575,M026-01,26,26,10.1109/embc.2018.8513575,NR,2018,diagnostic_or_prognostic_model,acute healthy,acute healthy,87,NR,NR,continuous pain intensity,NR,concurrent or study-defined; exact timing NR,autonomic signals,autonomic signals,NR,NR,NR,NR,NR,RNN/LSTM; deep neural network,NA unimodal or NR,subject held-out NR,subject held-out NR,NR,no,NR,no,NR,NR,no,no,NR,Conference study,request,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1109/embc.2018.8513575,Conference study
R0232,S-10.1155/prm/5131891,M058-01,58,48,10.1155/prm/5131891,42029549,2026,diagnostic_or_prognostic_model,acute healthy,acute healthy,NR,NR,NR,CoVAS zero/nonzero and intensity,reported in PubMed abstract/full text,concurrent or study-defined; exact timing NR,ECG/HRV,ECG/HRV,NR,NR,NR,NR,NR,random forest,NA unimodal or NR,subject-level NR,subject-level NR,NR,no,yes,no,accuracy; RMSE,NR,NR,no,NR,Uses objective wording; external validation not reported in abstract,open article,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC13108428/,Machine Learning and ECG-Derived Biomarkers for Objective Pain Assessment. Uses objective wording; external validation not reported in abstract
R0233,S-10.1097/j.pain.0000000000001417,M149-01,NR,NR,10.1097/j.pain.0000000000001417,30540621,2019,diagnostic_or_prognostic_model,clinical chronic pain,clinical chronic pain,53,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; fMRI/MRI,PPG/BVP/cardiorespiratory; fMRI/MRI,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,accuracy; AUC,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6377310/,Single-pass extraction; author verification required
R0234,S-10.1097/pr9.0000000000001332,M110-01,NR,NR,10.1097/pr9.0000000000001332,40969592,2025,stimulus_recognition,clinical intensive care,clinical intensive care,72,NR,NR,experimental stimulus class,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,EEG,EEG,NR,NR,NR,NR,NR,CNN; SVM; random forest; gradient boosting; logistic regression; deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; AUC; specificity,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12443153/,Single-pass extraction; author verification required
R0238,S-10.1038/s41598-025-21987-3,M111-01,NR,NR,10.1038/s41598-025-21987-3,41173924,2025,diagnostic_or_prognostic_model,clinical human,clinical human,87,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,CNN; transformer; deep neural network,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12578783/,Single-pass extraction; author verification required
R0239,S-10.4097/kja.23583,M112-01,NR,NR,10.4097/kja.23583,38176698,2024,diagnostic_or_prognostic_model,clinical postoperative,clinical postoperative,NR,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; face/video,PPG/BVP/cardiorespiratory; face/video,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,AUC; correlation,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10982524/,Single-pass extraction; author verification required
R0240,S-10.1038/s41598-025-92111-8,M052-01,52,42,10.1038/s41598-025-92111-8,40102462,2025,scs_prediction_or_longitudinal,SCS chronic pain,SCS chronic pain,17,NR,NR,surgery outcome,participant self-report,concurrent or study-defined; exact timing NR,intraoperative EEG,intraoperative EEG,NR,NR,NR,NR,NR,deep neural network,NA unimodal or NR,LOOCV,LOOCV,NR,no,NR,yes,accuracy; AUC; F1,NR,no,no,NR,Very small modeled sample,closed,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC11920397/,Very small modeled sample
R0245,S-10.1109/jstsp.2016.2535962,M025-01,25,25,10.1109/jstsp.2016.2535962,NR,2016,diagnostic_or_prognostic_model,acute healthy,acute healthy,NR,NR,NR,continuous pain intensity,NR,concurrent or study-defined; exact timing NR,biophysiological channels,biophysiological channels,NR,NR,NR,NR,NR,NR,NA unimodal or NR,personal calibration,personal calibration,NR,no,NR,no,NR,NR,NR,no,NR,"Personal transform is calibration, not zero-shot",request,NR,NR,NR,curated evidence map and available report,https://doi.org/10.1109/jstsp.2016.2535962,"Personal transform is calibration, not zero-shot"
R0249,S-10.1073/pnas.2319316121,M023-01,23,23,10.1073/pnas.2319316121,39316050,2024,stimulus_recognition,surgery under anesthesia,surgery under anesthesia,101,NR,NR,nociceptive event,NR,concurrent or study-defined; exact timing NR,"ECG, EDA, drugs","ECG, EDA, drugs",NR,NR,NR,NR,NR,NR,NA unimodal or NR,NA descriptor,NA descriptor,NR,NA,NR,no,NR,NR,NA,NA,NR,18582 min and 49878 annotated stimuli,restricted DUA,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC11459174/,18582 min and 49878 annotated stimuli
R0250,S-10.1038/s41598-026-54248-y,M113-01,NR,NR,10.1038/s41598-026-54248-y,42533023,2026,diagnostic_or_prognostic_model,clinical intensive care,clinical intensive care,153,NR,NR,pain-related state,observer or clinical scale,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,NR,NA unimodal or NR,person-level split,person-level split,NR,yes,yes,yes,accuracy; AUC; F1; agreement/ICC,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13424116/,Single-pass extraction; author verification required
R0253,S-10.3791/59057,M014-01,14,14,10.3791/59057,NR,2019,dataset_descriptor,acute healthy,acute healthy,134,NR,NR,thermal/electrical stimulus,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,"RGB, depth, thermal, audio, EDA, ECG, EMG","RGB, depth, thermal, audio, EDA, ECG, EMG",NR,NR,NR,NR,NR,NR,NA unimodal or NR,NA descriptor,NA descriptor,NR,NA,NR,no,NR,NR,NA,NA,NR,X-ITE,request,NR,NR,NR,curated evidence map and available report,https://doi.org/10.3791/59057,X-ITE
R0255,S-10.3390/s24020458,M114-01,NR,NR,10.3390/s24020458,38257551,2024,diagnostic_or_prognostic_model,clinical dementia,clinical dementia,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; EEG; fNIRS,PPG/BVP/cardiorespiratory; EEG; fNIRS,NR,NR,NR,NR,NR,SVM,multimodal,LOSO/LOPO,LOSO/LOPO,NR,no,yes,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11154386/,Single-pass extraction; author verification required
R0256,S-10.3389/fpain.2024.1372814,M115-01,NR,NR,10.3389/fpain.2024.1372814,38601923,2024,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,ECG; PPG/BVP/cardiorespiratory; face/video; movement/IMU,ECG; PPG/BVP/cardiorespiratory; face/video; movement/IMU,NR,NR,NR,NR,NR,transformer,multimodal,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11004333/,Single-pass extraction; author verification required
R0258,S-10.3390/s26103181,M055-01,55,45,10.3390/s26103181,42197989,2026,diagnostic_or_prognostic_model,acute healthy,acute healthy,NR,NR,NR,pain vs anticipation anxiety,reported in PubMed abstract/full text,concurrent or study-defined; exact timing NR,wearable multimodal,wearable multimodal,NR,NR,NR,NR,NR,NR,NA unimodal or NR,subject-level NR,subject-level NR,NR,no,yes,no,NR,NR,NR,NR,NR,Contextual negative class is a methodological strength,open article,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC13210486/,Multimodal Detection of Pain and Anticipation Anxiety from Ultra-Short Duration Wearable Sensors Measurements. Contextual negative class is a methodological strength
R0259,S-10.1016/j.dib.2025.111992,M015-01,15,15,10.1016/j.dib.2025.111992,40918059,2025,dataset_descriptor,mixed pain groups,mixed pain groups,93,NR,NR,self-report/pain group,NR,concurrent or study-defined; exact timing NR,"EDA, BVP, temperature, EEG-derived features","EDA, BVP, temperature, EEG-derived features",NR,NR,NR,NR,NR,NR,NA unimodal or NR,NA descriptor,NA descriptor,NR,NA,NR,no,NR,NR,NA,NA,NR,"PhysioPain; 99 recruited, 93 records after QC",open,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC12410463/,"PhysioPain; 99 recruited, 93 records after QC"
R0261,S-10.1016/j.dib.2021.106796,M116-01,NR,NR,10.1016/j.dib.2021.106796,33644268,2021,dataset_descriptor,clinical intensive care,clinical intensive care,58,NR,NR,pain-related state,observer or clinical scale,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; speech/audio,PPG/BVP/cardiorespiratory; speech/audio,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC7887380/,Single-pass extraction; author verification required
R0262,S-10.1002/pne2.12007,M117-01,NR,NR,10.1002/pne2.12007,35546868,2019,stimulus_recognition,clinical intensive care,clinical intensive care,109,NR,NR,experimental stimulus class,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,PPG/BVP/cardiorespiratory; face/video,PPG/BVP/cardiorespiratory; face/video,NR,NR,NR,NR,NR,random forest,multimodal,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC8974881/,Single-pass extraction; author verification required
R0263,S-10.2196/67969,M118-01,NR,NR,10.2196/67969,39869898,2025,diagnostic_or_prognostic_model,clinical postoperative,clinical postoperative,NR,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,EDA/SP; ECG; EMG; face/video; movement/IMU,EDA/SP; ECG; EMG; face/video; movement/IMU,NR,NR,NR,NR,NR,SVM; random forest,multimodal,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11811662/,Single-pass extraction; author verification required
R0264,S-10.3389/fpain.2023.1150264,M119-01,NR,NR,10.3389/fpain.2023.1150264,37415829,2023,diagnostic_or_prognostic_model,experimental human,experimental human,22,NR,NR,pain-related state,participant self-report,concurrent or study-defined; exact timing NR,EDA/SP; PPG/BVP/cardiorespiratory,EDA/SP; PPG/BVP/cardiorespiratory,NR,NR,NR,NR,NR,SVM,multimodal,NR,NR,NR,NR,NR,no,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10321707/,Single-pass extraction; author verification required
R0266,S-10.1016/j.compbiomed.2020.104150,M150-01,NR,NR,10.1016/j.compbiomed.2020.104150,33348218,2021,diagnostic_or_prognostic_model,clinical neonatal/infant,clinical neonatal/infant,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,speech/audio; movement/IMU,speech/audio; movement/IMU,NR,NR,NR,NR,NR,deep neural network,multimodal,NR,NR,NR,NR,NR,yes,accuracy; AUC,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC7856028/,Single-pass extraction; author verification required
R0271,S-10.1136/rapm-2024-105370,M120-01,NR,NR,10.1136/rapm-2024-105370,38490687,2025,scs_technical_control,SCS chronic pain,SCS chronic pain,41,NR,NR,ECAP/recruitment,recorded evoked neural response,concurrent or study-defined; exact timing NR,ECAP,ECAP,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12322467/,Single-pass extraction; author verification required
