requested_doi,doi,pmid,pmcid,status,checked_at
10.2196/67969,10.2196/67969,39869898,PMC11811662,resolved,2026-09-12
10.2196/75671,10.2196/75671,41313209,PMC12661616,resolved,2026-09-12
10.2196/77345,10.2196/77345,41248315,PMC12622856,resolved,2026-09-12
10.2196/97777,10.2196/97777,41996452,PMC13089622,resolved,2026-09-12
10.2217/pmt-2018-0028,10.2217/pmt-2018-0028,,,error,2026-09-12
10.22514/jofph.2024.008,10.22514/jofph.2024.008,39788578,PMC11774282,resolved,2026-09-12
10.2340/jrm.v58.45747,10.2340/jrm.v58.45747,42478905,PMC13397339,resolved,2026-09-12
10.2460/javma.26.04.0301,10.2460/javma.26.04.0301,,,error,2026-09-12
10.30802/aalas-jaalas-23-000056,10.30802/aalas-jaalas-23-000056,38428929,PMC11270042,resolved,2026-09-12
10.3389/fmed.2020.566278,10.3389/fmed.2020.566278,33409286,PMC7779395,resolved,2026-09-12
10.3389/fmed.2022.851690,10.3389/fmed.2022.851690,35372435,PMC8968070,resolved,2026-09-12
10.3389/fmed.2024.1309720,10.3389/fmed.2024.1309720,38994344,PMC11236545,resolved,2026-09-12
10.3389/fnagi.2018.00117,10.3389/fnagi.2018.00117,29946251,PMC6006917,resolved,2026-09-12
10.3389/fncom.2016.00032,10.3389/fncom.2016.00032,27148029,PMC4830829,resolved,2026-09-12
10.3389/fneur.2023.1195923,10.3389/fneur.2023.1195923,37333009,PMC10273207,resolved,2026-09-12
10.3389/fnins.2019.00437,10.3389/fnins.2019.00437,31133782,PMC6513974,resolved,2026-09-12
10.3389/fnins.2021.673998,10.3389/fnins.2021.673998,34335157,PMC8320888,resolved,2026-09-12
10.3389/fnins.2022.831627,10.3389/fnins.2022.831627,35221908,PMC8874020,resolved,2026-09-12
10.3389/fpain.2021.788606,10.3389/fpain.2021.788606,35174358,PMC8846566,resolved,2026-09-12
10.3389/fpain.2022.827551,10.3389/fpain.2022.827551,35295796,PMC8915628,resolved,2026-09-12
10.3389/fpain.2023.1150264,10.3389/fpain.2023.1150264,37415829,PMC10321707,resolved,2026-09-12
10.3389/fpain.2024.1372814,10.3389/fpain.2024.1372814,38601923,PMC11004333,resolved,2026-09-12
10.3389/fpain.2026.1752958,10.3389/fpain.2026.1752958,41930234,PMC13039019,resolved,2026-09-12
10.3389/fpain.2026.1820044,10.3389/fpain.2026.1820044,42534983,PMC13422498,resolved,2026-09-12
10.3389/fped.2026.1784197,10.3389/fped.2026.1784197,42558820,PMC13438283,resolved,2026-09-12
10.3389/fphys.2021.720464,10.3389/fphys.2021.720464,34539444,PMC8440852,resolved,2026-09-12
10.3389/fphys.2023.1294577,10.3389/fphys.2023.1294577,38124717,PMC10730685,resolved,2026-09-12
10.3389/frai.2022.942248,10.3389/frai.2022.942248,36277167,PMC9582446,resolved,2026-09-12
10.3389/frhs.2026.1829082,10.3389/frhs.2026.1829082,42422598,PMC13342171,resolved,2026-09-12
10.3389/fvets.2024.1436795,10.3389/fvets.2024.1436795,39086767,PMC11288915,resolved,2026-09-12
10.3389/fvets.2024.1442634,10.3389/fvets.2024.1442634,39717789,PMC11663861,resolved,2026-09-12
10.3389/fvets.2025.1619794,10.3389/fvets.2025.1619794,41142570,PMC12551228,resolved,2026-09-12
10.3390/ani10122258,10.3390/ani10122258,33266297,PMC7760072,resolved,2026-09-12
10.3390/ani11061643,10.3390/ani11061643,34206077,PMC8229776,resolved,2026-09-12
10.3390/bioengineering10040500,10.3390/bioengineering10040500,37106687,PMC10135816,resolved,2026-09-12
10.3390/bioengineering10050548,10.3390/bioengineering10050548,37237618,PMC10215219,resolved,2026-09-12
10.3390/bioengineering13020141,10.3390/bioengineering13020141,41749681,PMC12938521,resolved,2026-09-12
10.3390/bioengineering9120804,10.3390/bioengineering9120804,36551010,PMC9774603,resolved,2026-09-12
10.3390/biology14020210,10.3390/biology14020210,40001978,PMC11851851,resolved,2026-09-12
10.3390/biomimetics11010051,10.3390/biomimetics11010051,41589968,PMC12838980,resolved,2026-09-12
10.3390/diagnostics13162661,10.3390/diagnostics13162661,37627921,PMC10453072,resolved,2026-09-12
10.3390/diagnostics15030300,10.3390/diagnostics15030300,39941230,PMC11816796,resolved,2026-09-12
10.3390/diagnostics15182362,10.3390/diagnostics15182362,41008735,PMC12468818,resolved,2026-09-12
10.3390/diagnostics15202661,10.3390/diagnostics15202661,41153333,PMC12564096,resolved,2026-09-12
10.3390/diagnostics16091346,10.3390/diagnostics16091346,42122048,PMC13163485,resolved,2026-09-12
10.3390/healthcare14020149,10.3390/healthcare14020149,41595284,PMC12841086,resolved,2026-09-12
10.3390/ijms27167373,10.3390/ijms27167373,42653377,PMC13512981,resolved,2026-09-12
10.3390/jpm12060851,10.3390/jpm12060851,35743636,PMC9225619,resolved,2026-09-12
10.3390/jpm14090983,10.3390/jpm14090983,39338237,PMC11432921,resolved,2026-09-12
10.3390/life16071185,10.3390/life16071185,42514252,PMC13412368,resolved,2026-09-12
10.3390/s19204503,10.3390/s19204503,31627305,PMC6833075,resolved,2026-09-12
10.3390/s20030839,10.3390/s20030839,32033240,PMC7038688,resolved,2026-09-12
10.3390/s21093273,10.3390/s21093273,34068462,PMC8125973,resolved,2026-09-12
10.3390/s21123956,10.3390/s21123956,34201268,PMC8227650,resolved,2026-09-12
10.3390/s21144838,10.3390/s21144838,34300578,PMC8309734,resolved,2026-09-12
10.3390/s22218087,10.3390/s22218087,36365785,PMC9654781,resolved,2026-09-12
10.3390/s23031443,10.3390/s23031443,36772482,PMC9919606,resolved,2026-09-12
10.3390/s23041959,10.3390/s23041959,36850556,PMC9960387,resolved,2026-09-12
10.3390/s23083980,10.3390/s23083980,37112321,PMC10143826,resolved,2026-09-12
10.3390/s23249675,10.3390/s23249675,38139521,PMC10747670,resolved,2026-09-12
10.3390/s24020458,10.3390/s24020458,38257551,PMC11154386,resolved,2026-09-12
10.3390/s24020634,10.3390/s24020634,38276326,PMC10818383,resolved,2026-09-12
10.3390/s24196298,10.3390/s24196298,39409338,PMC11478472,resolved,2026-09-12
10.3390/s25041223,10.3390/s25041223,40006452,PMC11860027,resolved,2026-09-12
10.3390/s25051436,10.3390/s25051436,40096220,PMC11902865,resolved,2026-09-12
10.3390/s25072086,10.3390/s25072086,40218599,PMC11991361,resolved,2026-09-12
10.3390/s26082447,10.3390/s26082447,42076555,PMC13120223,resolved,2026-09-12
10.3390/s26102947,10.3390/s26102947,42197756,PMC13210414,resolved,2026-09-12
10.3390/s26103020,10.3390/s26103020,42197829,PMC13211154,resolved,2026-09-12
10.3390/s26103181,10.3390/s26103181,42197989,PMC13210486,resolved,2026-09-12
10.3390/vetsci10040283,10.3390/vetsci10040283,37104439,PMC10141195,resolved,2026-09-12
10.3791/59057,10.3791/59057,,,error,2026-09-12
10.3897/folmed.68.e177992,10.3897/folmed.68.e177992,,,error,2026-09-12
10.4097/kja.23583,10.4097/kja.23583,38176698,PMC10982524,resolved,2026-09-12
10.4103/0028-3886.302465,10.4103/0028-3886.302465,,,error,2026-09-12
10.4103/neurol-india.neurol-india-d-25-00281,10.4103/neurol-india.neurol-india-d-25-00281,,,error,2026-09-12
10.7326/m18-0850,10.7326/m18-0850,,,error,2026-09-12
10.7717/peerj-cs.3158,10.7717/peerj-cs.3158,40989383,PMC12453799,resolved,2026-09-12
10.7759/cureus.107883,10.7759/cureus.107883,42220843,PMC13218711,resolved,2026-09-12
10.7759/cureus.72562,10.7759/cureus.72562,39610577,PMC11602419,resolved,2026-09-12
10.7759/cureus.77074,10.7759/cureus.77074,39917118,PMC11801105,resolved,2026-09-12
